white_share,n_crimes,n_searches,lsoa_id,rel_size
0.843054720384847,1108,22,91,0.000340451872485299
0.451194539249147,1378,26,92,0.000402352212937171
0.858437146092865,1293,25,93,0.000386877127824203
0.497546614327772,26716,1450,94,0.0224388734138038
0.595238095238095,1729,72,95,0.0011142061281337
0.830873308733087,1192,71,96,0.00109873104302074
0.927444794952681,960,12,97,0.000185701021355617
0.198664440734558,811,43,98,0.000665428659857629
0.525882352941177,2820,69,99,0.0010677808727948
0.66705675833821,1329,17,100,0.000263076446920458
0.70297699594046,1615,51,101,0.000789229340761374
0.937614678899082,784,11,102,0.000170225936242649
0.744851258581236,2921,72,103,0.0011142061281337
0.848209513629075,3758,86,104,0.00133085731971526
0.83652762119504,2417,53,105,0.00082017951098731
0.727149627623561,1093,5,106,7.73754255648406e-05
0.886278195488722,2403,59,107,0.000913030021665119
0.104880581516096,3359,121,108,0.00187248529866914
0.323511356660528,1452,25,109,0.000386877127824203
0.506746626686657,1572,63,110,0.000974930362116992
0.863781031190325,1146,24,111,0.000371402042711235
0.706090651558074,577,23,112,0.000355926957598267
0.960719041278296,1226,16,113,0.00024760136180749
0.101587301587302,3003,113,114,0.0017486846177654
0.813477737665463,1995,18,115,0.000278551532033426
0.894573643410853,654,26,116,0.000402352212937171
0.120998719590269,1410,20,117,0.000309501702259362
0.0742506811989101,999,25,118,0.000386877127824203
0.72316384180791,2564,32,119,0.00049520272361498
0.778242677824268,954,9,120,0.000139275766016713
0.741500269832704,1649,24,121,0.000371402042711235
0.941375422773394,1986,65,122,0.00100588053234293
0.975919732441472,490,11,123,0.000170225936242649
0.192825112107623,1746,51,124,0.000789229340761374
0.984806629834254,631,7,125,0.000108325595790777
0.967067764407853,769,2,126,3.09501702259362e-05
0.416034669555796,895,20,127,0.000309501702259362
0.876197494473102,735,7,128,0.000108325595790777
0.727925340990668,2488,27,129,0.000417827298050139
0.0304678998911861,358,43,130,0.000665428659857629
0.528967254408061,1851,47,131,0.000727329000309502
0.959289415247964,392,6,132,9.28505106778087e-05
0.842639593908629,629,6,133,9.28505106778087e-05
0.948746518105849,1400,29,134,0.000448777468276076
0.695276114437791,1350,16,135,0.00024760136180749
0.663179916317992,1371,30,136,0.000464252553389044
0.855611601513241,2468,35,137,0.000541627978953884
0.939477303988996,1066,8,138,0.000123800680903745
0.850031908104659,279,11,139,0.000170225936242649
0.861657722122838,1186,10,140,0.000154750851129681
0.21209117938553,1037,50,141,0.000773754255648406
0.896186440677966,709,35,142,0.000541627978953884
0.897845726198749,1101,9,143,0.000139275766016713
0.921309192200557,409,11,144,0.000170225936242649
0.727439024390244,518,4,145,6.19003404518725e-05
0.887920298879203,2023,34,146,0.000526152893840916
0.989078498293515,314,4,147,6.19003404518725e-05
0.883004926108374,1030,29,148,0.000448777468276076
0.235812477969686,3312,60,149,0.000928505106778087
0.720292504570384,1289,13,150,0.000201176106468586
0.391281233386497,1397,59,151,0.000913030021665119
0.457386363636364,1293,80,152,0.00123800680903745
0.901823281907433,1530,27,153,0.000417827298050139
0.731749710312862,1666,19,154,0.000294026617146394
0.8,1346,19,155,0.000294026617146394
0.0993710691823899,1275,28,156,0.000433302383163107
0.564323607427056,4393,209,157,0.00323429278861034
0.573681732580038,1290,23,158,0.000355926957598267
0.937795807978364,498,9,159,0.000139275766016713
0.386945169712794,2837,62,160,0.000959455277004024
0.506574394463668,1027,20,161,0.000309501702259362
0.770669885334943,1247,44,162,0.000680903744970597
0.829756795422032,1212,14,163,0.000216651191581554
0.770992366412214,1041,7,164,0.000108325595790777
0.379310344827586,1962,41,165,0.000634478489631693
0.790629575402635,757,14,166,0.000216651191581554
0.84846547314578,4848,73,167,0.00112968121324667
0.312445223488168,8192,541,168,0.00837202104611575
0.894701086956522,545,2,169,3.09501702259362e-05
0.897260273972603,1390,17,170,0.000263076446920458
0.712160979877515,2975,98,171,0.00151655834107088
0.488294314381271,948,22,172,0.000340451872485299
0.903903903903904,743,22,173,0.000340451872485299
0.912810194500335,322,1,174,1.54750851129681e-05
0.918392969240427,1299,8,175,0.000123800680903745
0.813449023861171,884,14,176,0.000216651191581554
0.782077393075356,873,9,177,0.000139275766016713
0.904100529100529,1226,16,178,0.00024760136180749
0.048582995951417,1303,36,179,0.000557103064066852
0.954713006845708,1546,10,180,0.000154750851129681
0.882738095238095,1714,56,181,0.000866604766326215
0.141912512716175,2132,46,182,0.000711853915196534
0.961234745154343,361,7,183,0.000108325595790777
0.53735803945009,773,52,184,0.000804704425874342
0.850314465408805,631,28,185,0.000433302383163107
0.483786610878661,1858,108,186,0.00167130919220056
0.896404631322364,2006,29,187,0.000448777468276076
0.920624593363696,628,11,188,0.000170225936242649
0.934470989761092,714,22,189,0.000340451872485299
0.607086197778953,3427,84,190,0.00129990714948932
0.867961165048544,898,8,191,0.000123800680903745
0.88050694025347,757,13,192,0.000201176106468586
0.537370430987452,3115,136,193,0.00210461157536366
0.827464788732394,1431,41,194,0.000634478489631693
0.766068326577881,887,2,195,3.09501702259362e-05
0.830952380952381,1106,59,196,0.000913030021665119
0.86843853820598,1647,47,197,0.000727329000309502
0.75583864118896,793,32,198,0.00049520272361498
0.178111587982833,922,49,199,0.000758279170535438
0.954802259887006,288,2,200,3.09501702259362e-05
0.781837160751566,1970,43,201,0.000665428659857629
0.935714285714286,965,10,202,0.000154750851129681
0.73625,803,16,203,0.00024760136180749
0.692411924119241,1832,18,204,0.000278551532033426
0.676744186046512,595,14,205,0.000216651191581554
0.83046357615894,969,37,206,0.000572578149179821
0.906578947368421,1496,30,207,0.000464252553389044
0.969271877087508,1017,9,208,0.000139275766016713
0.503488372093023,2182,91,209,0.0014082327452801
0.718631178707224,1439,78,210,0.00120705663881151
0.917525773195876,737,7,211,0.000108325595790777
